step,upright,speed,reward,skill_name,fault_active,emergency_pending
258,0.9967,0.2841,0.4837,flat_walk_trot,False,False
259,0.9982,0.3823,0.4797,flat_walk_trot,False,False
260,0.9994,0.4528,0.4853,flat_walk_trot,False,False
261,1.0,0.5431,0.4612,flat_walk_trot,False,False
262,0.9998,0.5773,0.423,flat_walk_trot,False,False
263,0.9995,0.397,0.5432,flat_walk_trot,False,False
264,0.9996,0.521,0.6998,flat_walk_trot,False,False
265,0.9993,0.3969,0.6429,flat_walk_trot,False,False
266,0.9991,0.2891,0.6259,flat_walk_trot,False,False
267,0.9982,0.3016,0.7174,flat_walk_trot,False,False
268,0.9978,0.1893,0.6149,flat_walk_trot,False,False
269,0.9977,0.1907,0.6613,flat_walk_trot,False,False
270,0.9971,0.2177,0.7153,flat_walk_trot,False,False
271,0.9977,0.1965,0.6024,flat_walk_trot,False,False
272,0.9984,0.3568,0.6137,flat_walk_trot,False,False
273,0.999,0.4599,0.5966,flat_walk_trot,False,False
274,0.9995,0.4184,0.6086,flat_walk_trot,False,False
275,0.9999,0.375,0.6636,flat_walk_trot,False,False
276,0.9998,0.2791,0.5106,flat_walk_trot,False,False
277,0.9997,0.446,0.4174,flat_walk_trot,False,False
278,0.9994,0.3851,0.4602,flat_walk_trot,False,False
279,0.9988,0.3513,0.4271,flat_walk_trot,False,False
280,0.9977,0.3151,0.4719,flat_walk_trot,False,False
281,0.9968,0.3367,0.5748,flat_walk_trot,False,False
282,0.9959,0.3345,0.5907,flat_walk_trot,False,False
283,0.9947,0.3333,0.6413,flat_walk_trot,False,False
284,0.994,0.306,0.6242,flat_walk_trot,False,False
285,0.9935,0.21,0.5082,flat_walk_trot,False,False
286,0.9937,0.1907,0.5464,flat_walk_trot,False,False
287,0.995,0.2145,0.5544,flat_walk_trot,False,False
288,0.9966,0.2969,0.4828,flat_walk_trot,False,False
289,0.9981,0.3972,0.4921,flat_walk_trot,False,False
290,0.9994,0.4572,0.5051,flat_walk_trot,False,False
291,1.0,0.5665,0.4695,flat_walk_trot,False,False
292,0.9998,0.5973,0.415,flat_walk_trot,False,False
293,0.9995,0.4036,0.5199,flat_walk_trot,False,False
294,0.9997,0.5372,0.6841,flat_walk_trot,False,False
